"","State_name","City_Name","Area.Name"
"1","Telangana","Hyderabad","Gachibowli"
"2","Telangana","Hyderabad","Shamshabad"
"3","Telangana","Hyderabad","Kukatpally"
"4","Telangana","Hyderabad","Mallapur"
"5","Telangana","Hyderabad","Hi Tech City"
"6","Telangana","Hyderabad","Habsiguda"
"7","Telangana","Hyderabad","Jubilee Hills"
"8","Telangana","Hyderabad","Secunderabad"
"9","Telangana","Hyderabad","Banjara Hills"
"10","Telangana","Hyderabad","Manikonda"
"11","Telangana","Hyderabad","Uppal Kalan"
"12","Telangana","Hyderabad","Ameerpet"
"13","Telangana","Hyderabad","Shamirpet"
"14","Telangana","Hyderabad","Sainikpuri"
"15","Telangana","Hyderabad","Srinagar Colony"
"16","Telangana","Hyderabad","Quthbullapur"
"17","Telangana","Hyderabad","A C Guards"
"18","Telangana","Hyderabad","A S Roa Nagar"
"19","Telangana","Hyderabad","Abids Road"
"20","Telangana","Hyderabad","Adarsh Nagar"
"21","Telangana","Hyderabad","Adikmet"
"22","Telangana","Hyderabad","Afzalgunj"
"23","Telangana","Hyderabad","Agapura"
"24","Telangana","Hyderabad","Ahmed Nagar"
"25","Telangana","Hyderabad","Akbar Road"
"26","Telangana","Hyderabad","Alexander Road"
"27","Telangana","Hyderabad","Aliabad"
"28","Telangana","Hyderabad","Alwal"
"29","Telangana","Hyderabad","Amberpet"
"30","Telangana","Hyderabad","Ameerpet X Road"
"31","Telangana","Hyderabad","Anand Bagh"
"32","Telangana","Hyderabad","Anand Nagar Colony"
"33","Telangana","Hyderabad","Ashok Nagar"
"34","Telangana","Hyderabad","Asif Nagar"
"35","Telangana","Hyderabad","Attapur"
"36","Telangana","Hyderabad","Attapur Ring Road"
"37","Telangana","Hyderabad","Auto Nagar"
"38","Telangana","Hyderabad","Azamabad"
"39","Telangana","Hyderabad","Azampura Masjid"
"40","Telangana","Hyderabad","Baber Bagh"
"41","Telangana","Hyderabad","Bachpally"
"42","Telangana","Hyderabad","Badichowdi"
"43","Telangana","Hyderabad","Bagh Amberpet"
"44","Telangana","Hyderabad","Bagh Lingampally"
